len,p
1,0.005368679614435276
2,0.006947587634905442
3,0.008851456275893604
4,0.011102213428712178
5,0.01370940366713926
6,0.016666396330045966
7,0.01994706463522291
8,0.02350338601302114
9,0.027264404758468724
10,0.031136927568571605
11,0.035008188680736047
12,0.03875053245314383
13,0.042227936164141
14,0.04530396228986047
15,0.04785052054060106
16,0.04975666858001986
17,0.050936613971805045
18,0.05133611478655323
19,0.050936613971805045
20,0.04975666858001986
21,0.04785052054060106
22,0.04530396228986047
23,0.042227936164141
24,0.03875053245314383
25,0.035008188680736047
26,0.031136927568571605
27,0.027264404758468724
28,0.02350338601302114
29,0.01994706463522291
30,0.016666396330045966
31,0.01370940366713926
32,0.011102213428712178
33,0.008851456275893604
34,0.006947587634905442
35,0.005368679614435276
